sentences	ADR	WD	EF	INF	SSI	DI
extreme weight gain, short-term memory loss, hair loss.	1	0	0	0	0	0
I am detoxing from Lexapro now.	0	0	0	0	0	0
I slowly cut my dosage over several months and took vitamin supplements to help.	0	0	0	0	0	0
I am now 10 days completely off and OMG is it rough.	0	0	0	0	0	0
I have flu-like symptoms, dizziness, major mood swings, lots of anxiety, tiredness.	0	1	0	0	0	0
I have no idea when this will end.	0	0	0	0	0	0
I have been taking lots of vitamin supplements from truehope.	0	0	0	0	0	0
com to help and it is still terrible.	0	0	0	0	0	0
I just really want to be done with this.	0	0	0	0	0	0
I would never have guessed withdrawal would be so terrible.	0	1	0	0	0	0
I am looking to get pregnant and do not want to be on any medications.	0	0	0	0	0	0
Also neurofeedback has been more helpful than the medicine ever was.	0	0	0	0	0	0
COMPLETELY DESTROYED SEXUALLY FUNCTIONING .	1	0	0	0	0	0
EVEN AFTER GOING OFF THE DRUG .	0	0	0	0	0	0
PROBABLY PERMANENT!	0	0	0	0	0	0
Just TWO tablets of Lexapro 10mg completely destroyed my sexual functioning, probably for life.	1	0	0	0	0	0
It's called PSSD: post-SSRI sexual dysfunction.	1	0	0	0	0	0
This evil drug will not do you any good .	0	0	0	1	0	0
it's no better than placebo at treating any mental health condition.	0	0	0	1	0	0
And there is a chance that it will give you PSSD, which as the name suggests persists even after you stop taking the drug, Just google 'PSSD' and you'll see what I mean, So please: NEVER take this drug, not even one tablet.	1	0	0	0	0	0
DO NOT TRUST YOUR DOCTOR.	0	0	0	0	0	0
IF YOUR DOCTOR TRIES TO PRESCRIBE YOU THIS DRUG OR ANY OTHER SSRI ANTIDEPRESSANT, GET UP AND WALK AWAY.	0	0	0	0	0	0
Nausea, Blurred Vision, 3 to 5 hours sleep, Suicidal Thoughts.	1	0	0	0	0	0
Be careful with this medication.	0	0	0	0	0	0
This was my first anti-depressant medication.	0	0	0	0	0	0
Very scary drug.	0	0	0	0	0	0
I was unable to sleep, had blurred vision, and felt sick to my stomach.	1	0	0	0	0	0
Unable to eat anything significant for the 3 days.	1	0	0	0	0	0
While driving to a friends house crazy thoughts kept happening.	1	0	0	0	0	0
Stopped the drug after 2 days and next day was feeling better.	0	0	0	0	0	0
Would not have been able to work (software developer) if attempting this drug during work week.	1	0	0	0	0	0
Currently on Nortriptyline which seems to help.	0	0	0	0	0	0
Plenty!	0	0	0	0	0	0
First 10 days were HORRIBLE, like a looong panic attack with anxiety/nausea.	1	0	0	0	0	0
It calmed down when I got some Xanor for three weeks (was still worse than before lexapro though), after that back to lots of anxiety, derealisation, nausea etc, Also couldn't sleep much, woke at 6.30am with horrible anxiety no matter when I fell asleep the day before.	1	0	0	0	0	0
