sentences	ADR	WD	EF	INF	SSI	DI
I do experience some of these symptoms naturally, but it all got worse.	0	0	0	1	0	0
It only takes 1-2 weeks to work By the way, if you want to quit this med there is only one way: Opening pills and removing a few micro-capsules every 2 weeks (let's say 20 micro-capsules).	0	0	0	0	0	0
But I think I'm going to try other methods right now .	0	0	0	0	0	0
this one works best, hands down.	0	0	1	0	0	0
Dizziness, Dry mouth, Yawning.	1	0	0	0	0	0
"heart palpitations, chronic constipation, legs weak and heavy, trembling, crying jags, irritability, once or twice a ""rage"" reaction, very low self esteem, feeling unsafe and insecure, unhappy and scared."	1	0	0	0	0	0
I am taking 30mg, started on 10mg, a month late went to 20, a month later went to 30mg.	0	0	0	0	0	0
The medication fooled me.	0	0	0	0	0	0
Jittery, clenching/grinding teeth, insomnia, lack of libido.	1	0	0	0	0	0
I was taken off and experianced withdraw so bad that I now back on and slowly coming off.	0	1	0	0	0	0
and I still have occasional heart flutters, a clenched stomach, and the anxiety that goes with that.	1	0	0	0	0	0
It has very mild side effects when starting or stopping.	1	1	0	0	0	0
No noticible side effects.	0	0	0	0	0	0
After listing all of the side effects, it may sound funny to say this, but I have loved Lexapro.	1	0	1	0	0	0
I stopped after the 2nd day, but restarted on day 4 with half a pill (5mg).	0	0	0	0	0	0
Have had to increase dosage to 150 mg/day.	0	0	0	0	0	0
when i forget to eat, i get the shakes - low blood sugar.	0	0	0	0	0	0
I'm in serious pain right now.	1	0	0	0	0	0
After the two weeks the neuropathy pain subsided and had a loss of appetite which was a good thing for me.	1	0	0	0	1	1
Vivid dreams, night sweats, extreme lethargy, decreased interest in sex, feeling emotionless, nausea.	1	0	0	0	0	0
I have been on every anti-anxiety drug available over the last 12 years and I NEVER stay on them because I usually always gain A LOT of weight within a couple of months, and two, I am unable to orgasm.	0	0	0	0	0	0
The side effects I have experienced when MISSING a dose or more are: jittery-ness, dizziness and vertigo, nausea, swells in mood, overall awful feeling.	0	1	0	0	0	0
I asked my phamacist, & he said it should subside.	0	0	0	0	0	0
Depression returned so I went back on at 75MG /day and instantly felt better.	0	0	1	0	1	1
i wish i had been smart enough to do research on effexor BEFORE i went on it .	0	0	0	0	0	0
This is nasty-nasty stuff and I would not recommend it to anyone.	0	0	0	0	0	0
But it seems less effective in doing so lately.	0	0	0	0	0	0
I confused the awful side effects for feeling more depressed & more anxious, so my doctor upped my dose.	1	0	0	1	1	1
This drug should not be given to anyone without the doctor notifying family/friends of potential side effects.	0	0	0	0	0	0
in the evening and added Wellbutrin 200mg.	0	0	0	0	0	0
Severe cotton mouth, mood was exceptionally elevated (too elevated) until it tapered off, Disturbing, lucid dream for about 6 weeks.	1	0	0	0	0	0
10mgs daily Lexapro has helped my anxiety and has chilled me out.	0	0	1	0	1	1
THERE THEY WERE.	0	0	0	0	0	0
i don't recommend it.	0	0	0	0	0	0
The withdrawel is quite severe and I went through hell going off this drug!	0	1	0	0	0	0
I started taking 50 mg per day after a car accident that left me with a back injury.	0	0	0	0	0	0
Just TWO tablets of Lexapro 10mg completely destroyed my sexual functioning, probably for life.	1	0	0	0	0	0
Only stayed on it for a couple of weeks then Dr. switched me back to Lexapro.	0	0	0	0	0	0
"With zoloft I now know what ""normal"" life is like."	0	0	1	0	0	0
headaches and insomnia. 	1	0	0	0	0	0
After a month I was upped to 60 mg. A week later I started getting agitated easily, my hair is shedding way more than usual.	1	0	0	0	0	0
At first, terrible diarrhea.	1	0	0	0	0	0
showering at night became useless.	0	0	0	0	0	0
I think it did make me sleepy because I was constantly napping, but that may also partly have been carried over from when I was depressed and unmedicated (I slept to avoid how I was feeling).	1	0	0	0	1	0
The only side effects I experienced were mild insomnia and extreme shakiness for the first 3 days.	1	0	0	0	0	0
Thankfully, it took care of insomnia from the very first night.	0	0	1	0	1	1
So mostly the weight issue is a big deal.	1	0	0	0	0	0
Felt numb, robot-like.	1	0	0	0	0	0
After a few weeks that ended as well as my crying spells, my hate for life, and my suicidal thoughts.	0	0	1	0	1	1
It took me a full 12 weeks to fully realize how delusional I had become (as opposed to moderately depressed but not delusional, before taking Cymbalta.)	0	0	0	1	1	0
